,size,timing,k,circles
340,210000,27.23627018928528,15,55
341,215000,28.24391198158264,15,56
342,220000,28.837302923202515,15,57
343,225000,30.354070901870728,15,58
344,230000,31.09168314933777,15,59
345,235000,32.318713903427124,15,60
346,240000,33.20683288574219,15,61
347,245000,34.242607831954956,15,62
348,250000,35.20454502105713,15,63
349,255000,36.01447081565857,15,64
350,255000,0.962285041809082,15,15
351,15000,1.3609120845794678,15,16
352,20000,1.716080904006958,15,17
353,25000,2.0089242458343506,15,18
354,30000,2.4554710388183594,15,19
355,35000,2.81183123588562,15,20
356,40000,3.2318379878997803,15,21
357,45000,3.6518211364746094,15,22
358,50000,4.2890801429748535,15,23
359,55000,4.77593994140625,15,24
360,60000,5.138537883758545,15,25
361,65000,5.62592887878418,15,26
362,70000,6.107491970062256,15,27
363,75000,6.708486080169678,15,28
364,80000,7.327545642852783,15,29
365,85000,7.8031089305877686,15,30
366,90000,8.35686469078064,15,31
367,95000,8.937568426132202,15,32
368,100000,9.706852197647095,15,33
369,105000,10.310580015182495,15,34
370,110000,10.90181040763855,15,35
371,115000,11.591773271560669,15,36
372,120000,12.44510006904602,15,37
373,125000,13.0243980884552,15,38
374,130000,13.640996217727661,15,39
375,135000,14.467168807983398,15,40
376,140000,15.184522867202759,15,41
377,145000,16.153502941131592,15,42
378,150000,16.764589071273804,15,43
379,155000,17.399643898010254,15,44
380,160000,18.200557947158813,15,45
381,165000,19.105133056640625,15,46
382,170000,20.068932056427002,15,47
383,175000,21.18104600906372,15,48
384,180000,21.814253091812134,15,49
385,185000,22.64758014678955,15,50
386,190000,23.664138078689575,15,51
387,195000,24.41749405860901,15,52
388,200000,26.10042381286621,15,53
389,205000,26.839570999145508,15,54
390,210000,27.91500687599182,15,55
391,215000,28.723491191864014,15,56
392,220000,29.318583011627197,15,57
393,225000,30.720563888549805,15,58
394,230000,31.36650800704956,15,59
395,235000,32.56265997886658,15,60
396,240000,33.74895691871643,15,61
397,245000,34.571940183639526,15,62
398,250000,35.513381004333496,15,63
399,255000,36.628756046295166,15,64
400,255000,0.9730517864227295,15,15
401,15000,1.4224412441253662,15,16
402,20000,1.7758042812347412,15,17
403,25000,2.123270034790039,15,18
